               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02889,             0.02616,            0.036436,             0.57353,             0.66791,             0.64585,              0.5037,            0.017111,            0.016479,            0.038406,            0.006436,            0.006436,            0.006436
                  38,            0.028733,            0.025684,            0.035753,             0.58767,             0.67189,             0.67461,              0.5296,            0.016837,            0.016532,            0.036884,            0.006337,            0.006337,            0.006337
                  39,            0.028773,            0.025367,            0.033809,             0.60504,             0.68264,             0.68223,             0.53602,            0.017303,              0.0164,            0.035398,            0.006238,            0.006238,            0.006238
                  40,            0.029028,            0.026041,            0.032658,             0.66162,             0.69026,             0.71527,             0.55719,             0.01666,            0.016478,            0.034167,            0.006139,            0.006139,            0.006139
                  41,            0.028899,            0.026687,             0.03196,             0.66997,             0.64999,             0.72083,             0.56561,            0.016786,            0.016339,            0.033467,             0.00604,             0.00604,             0.00604
                  42,            0.029132,            0.026042,            0.030634,              0.6659,             0.71134,             0.74471,             0.58541,            0.016217,            0.016255,            0.031909,            0.005941,            0.005941,            0.005941
                  43,            0.028651,            0.024503,            0.030777,             0.65615,             0.71975,             0.74814,             0.58773,            0.016391,            0.016174,            0.031272,            0.005842,            0.005842,            0.005842
                  44,            0.028577,            0.025233,            0.029556,             0.66439,             0.73588,             0.76014,             0.59876,             0.01628,            0.016004,            0.030352,            0.005743,            0.005743,            0.005743
                  45,            0.028108,            0.025586,            0.028265,              0.6432,             0.71837,             0.76401,             0.59096,             0.01693,            0.016211,            0.030124,            0.005644,            0.005644,            0.005644
                  46,            0.028035,            0.024103,            0.027664,             0.70623,             0.72175,             0.79066,             0.61719,            0.016639,            0.016073,            0.028342,            0.005545,            0.005545,            0.005545
                  47,            0.028315,            0.025231,            0.027005,             0.69423,             0.75415,             0.80627,             0.64159,            0.016124,            0.016046,            0.027255,            0.005446,            0.005446,            0.005446
                  48,             0.02808,            0.023865,            0.026092,             0.74161,             0.74344,             0.81726,             0.64334,            0.016753,            0.015941,            0.026512,            0.005347,            0.005347,            0.005347
                  49,            0.027948,            0.024231,             0.02537,             0.74804,             0.74787,             0.82269,             0.65575,            0.015866,            0.015829,            0.025611,            0.005248,            0.005248,            0.005248
                  50,            0.027629,            0.025015,            0.024765,             0.77024,             0.74617,             0.83283,             0.66781,            0.015653,            0.015684,            0.024631,            0.005149,            0.005149,            0.005149
                  51,            0.027681,            0.024435,            0.024629,             0.74403,             0.77263,             0.83772,             0.66082,            0.015689,            0.015784,            0.024221,             0.00505,             0.00505,             0.00505
                  52,            0.027394,            0.025382,            0.023531,             0.76679,              0.7814,              0.8491,              0.6896,            0.015434,            0.015571,             0.02325,            0.004951,            0.004951,            0.004951
                  53,            0.027412,            0.024047,            0.023105,             0.80573,             0.75888,             0.84949,             0.68441,            0.015678,            0.015626,            0.023075,            0.004852,            0.004852,            0.004852
                  54,             0.02634,            0.023289,            0.022365,             0.79685,             0.77047,             0.85284,             0.69511,             0.01543,            0.015598,            0.022599,            0.004753,            0.004753,            0.004753
                  55,             0.02675,            0.024242,            0.021535,             0.78793,             0.77781,             0.86182,             0.70823,            0.015075,            0.015379,            0.021542,            0.004654,            0.004654,            0.004654
                  56,            0.026262,            0.023648,            0.020344,             0.81731,             0.78112,             0.87075,             0.70419,            0.015225,            0.015425,            0.021146,            0.004555,            0.004555,            0.004555
                  57,            0.026362,            0.023842,            0.020263,             0.81991,             0.79556,             0.87657,             0.71361,            0.014887,            0.015309,            0.020174,            0.004456,            0.004456,            0.004456
                  58,            0.026464,             0.02358,            0.020001,             0.84242,             0.78002,             0.88292,             0.71565,            0.015061,            0.015354,            0.019258,            0.004357,            0.004357,            0.004357
                  59,            0.026303,            0.024004,             0.01934,             0.82436,             0.80604,             0.88698,             0.73076,            0.014814,            0.015276,            0.019143,            0.004258,            0.004258,            0.004258
                  60,            0.025885,            0.023225,            0.019328,             0.84906,             0.81293,             0.89907,             0.72618,            0.014543,            0.015181,            0.018021,            0.004159,            0.004159,            0.004159
                  61,            0.025837,            0.023463,            0.019209,             0.83357,              0.8173,             0.89883,             0.73935,            0.014748,            0.015294,            0.017858,             0.00406,             0.00406,             0.00406
                  62,            0.025163,            0.022991,            0.017977,              0.8614,             0.80692,             0.89431,             0.72735,            0.014746,            0.015357,            0.017811,            0.003961,            0.003961,            0.003961
                  63,            0.025457,            0.023542,            0.017683,             0.84666,             0.82844,             0.90133,             0.74673,            0.014339,            0.015142,            0.017615,            0.003862,            0.003862,            0.003862
                  64,            0.024809,            0.022788,            0.017245,             0.87404,             0.82028,             0.90461,              0.7484,            0.014048,             0.01486,            0.016618,            0.003763,            0.003763,            0.003763
                  65,            0.025412,            0.022678,            0.016772,             0.87469,              0.8261,              0.9073,              0.7508,            0.014348,            0.015042,            0.016648,            0.003664,            0.003664,            0.003664
                  66,             0.02494,            0.022612,            0.016613,             0.88691,             0.82816,             0.91269,             0.75945,            0.014055,            0.014808,            0.015783,            0.003565,            0.003565,            0.003565
                  67,            0.024576,             0.02268,            0.016225,              0.8976,              0.8289,             0.91093,             0.76341,            0.013987,            0.014711,            0.015161,            0.003466,            0.003466,            0.003466
                  68,            0.024379,            0.022385,            0.015691,             0.87521,             0.84985,             0.91944,             0.76555,            0.013723,             0.01473,            0.015366,            0.003367,            0.003367,            0.003367
                  69,            0.023945,            0.021592,            0.015299,             0.90663,             0.84545,             0.92116,             0.76802,            0.013772,            0.014712,            0.014326,            0.003268,            0.003268,            0.003268
                  70,            0.023973,            0.021822,            0.015173,             0.89864,             0.84604,             0.91872,             0.77486,            0.013355,            0.014562,             0.01467,            0.003169,            0.003169,            0.003169
                  71,             0.02369,            0.022116,            0.014587,             0.90366,             0.85243,              0.9213,             0.77532,            0.013358,            0.014578,            0.013899,             0.00307,             0.00307,             0.00307
                  72,            0.023947,             0.02212,            0.014516,              0.9033,             0.85041,             0.92267,             0.78201,            0.013107,            0.014595,            0.014045,            0.002971,            0.002971,            0.002971
                  73,            0.023031,            0.021872,            0.014119,             0.89967,             0.86169,             0.92438,              0.7852,            0.013083,            0.014348,            0.013359,            0.002872,            0.002872,            0.002872
                  74,            0.023247,            0.022348,            0.014141,             0.91576,             0.85219,             0.92736,             0.78168,            0.012896,            0.014427,            0.012967,            0.002773,            0.002773,            0.002773
                  75,            0.022551,            0.021203,            0.013495,             0.90819,             0.85913,             0.92713,             0.78867,            0.012969,            0.014458,            0.012914,            0.002674,            0.002674,            0.002674
                  76,            0.022744,            0.021983,            0.013409,             0.91156,              0.8642,             0.92924,             0.79754,            0.012403,            0.014069,            0.012118,            0.002575,            0.002575,            0.002575
                  77,            0.022394,            0.021162,             0.01291,             0.90312,             0.86928,             0.93243,             0.79055,            0.012939,            0.014298,            0.012003,            0.002476,            0.002476,            0.002476
                  78,            0.022774,            0.021806,            0.013092,             0.92229,             0.86411,             0.93497,             0.80518,            0.012257,            0.014092,             0.01182,            0.002377,            0.002377,            0.002377
                  79,            0.021614,            0.020264,            0.012504,             0.91131,             0.87712,             0.93321,             0.79729,             0.01253,            0.014181,            0.011563,            0.002278,            0.002278,            0.002278
                  80,            0.021838,            0.019817,            0.012746,             0.90859,             0.88152,             0.93555,              0.8032,            0.012386,            0.014092,            0.011267,            0.002179,            0.002179,            0.002179
                  81,            0.021308,            0.020245,            0.012166,             0.92094,             0.87489,             0.93629,             0.80694,            0.012093,            0.014004,            0.011103,             0.00208,             0.00208,             0.00208
                  82,            0.020972,            0.020847,            0.011788,             0.91816,             0.87743,              0.9369,             0.81393,            0.011942,            0.013952,            0.010703,            0.001981,            0.001981,            0.001981
                  83,            0.021449,            0.020881,            0.011585,             0.91738,             0.87583,             0.93655,             0.81016,            0.012101,             0.01399,            0.010433,            0.001882,            0.001882,            0.001882
                  84,            0.020949,             0.02026,            0.011622,             0.92373,             0.87022,             0.93557,             0.81175,             0.01199,             0.01392,            0.010524,            0.001783,            0.001783,            0.001783
                  85,            0.020413,            0.020805,             0.01153,              0.9201,             0.87752,             0.93435,             0.81412,            0.011836,             0.01384,            0.010054,            0.001684,            0.001684,            0.001684
                  86,            0.020354,             0.02204,            0.011167,             0.91673,             0.87251,             0.93687,             0.81679,            0.011644,            0.013765,            0.010156,            0.001585,            0.001585,            0.001585
                  87,            0.020172,            0.020081,            0.010797,             0.92572,             0.87908,             0.93938,             0.82308,            0.011517,            0.013626,           0.0098111,            0.001486,            0.001486,            0.001486
                  88,            0.019969,            0.019869,            0.010839,             0.92135,             0.88309,              0.9377,             0.82049,            0.011427,            0.013636,             0.00944,            0.001387,            0.001387,            0.001387
                  89,            0.019733,            0.020841,            0.010742,             0.92832,             0.88024,             0.93676,             0.82234,            0.011232,            0.013566,           0.0094452,            0.001288,            0.001288,            0.001288
